title,addr,url,size,price
高新万达 齐鲁软件园 三庆财富 丁豪广场 茗筑美嘉独立洗漱次, 历下  康虹路租房 茗筑美嘉,http://jn.ganji.com//fang3/2923409565x.htm,25㎡,500
明湖白鹭郡 合租好房 个人房源 便宜出租, 高新  国际会展中心租房 明湖白鹭郡,http://jn.ganji.com//fang1/2923384578x.htm,15㎡,600
出租安静安全经济实用的一室一卫住房一套, 历下  解放路租房 甸柳集团宿舍,http://jn.ganji.com//fang1/2956717700x.htm,17㎡,480
高新万达 齐鲁软件园 丁豪广场 中铁财智 贤文花园独立阳台次, 高新  国际会展中心租房 贤文花园,http://jn.ganji.com//fang3/2922983730x.htm,25㎡,500
个人房源 无 超大次卧 免网免物业, 高新  国际会展中心租房 中铁汇苑,http://jn.ganji.com//fang3/2922313881x.htm,13㎡,450
个人个人高新康虹路明湖白鹭郡 3室2厅 次卧 朝南 精装修, 高新  国际会展中心租房 明湖白鹭郡,http://jn.ganji.com//fang1/2922222978x.htm,20㎡,600
个人出租舜泰广场，汉峪金谷，奥体旁精装单间出租，无, 高新  舜华路租房 北湖小区,http://jn.ganji.com//fang3/2922068592x.htm,15㎡,380
南华园 精装电梯房 押一付一 家具家电齐全 拎包入住, 市中  英雄山路租房 南华园小区,http://jn.ganji.com//fang3/2922037929x.htm,20㎡,500
历山北路+北园大街 历山吉第 精装电梯可月付 家电全 拎包住, 天桥  北园租房 冠华历山吉第,http://jn.ganji.com//fang3/2921490156x.htm,20㎡,600
"黄台魏家庄租房,干净卫生,一月一付,无押金", 天桥  历山北路租房,http://jn.ganji.com//fang1/2945644109x.htm,12㎡,230
他山花园 精装超大卧室 家电齐全 领包入住 干净卫生随时看房, 市中  英雄山路租房 他山花园,http://jn.ganji.com//fang3/2921147931x.htm,20㎡,500
华能路  兴业嘉苑新天地 单间  拎包入住   随时看房, 历城  东风租房 兴业嘉苑新天地,http://jn.ganji.com//fang3/2921046456x.htm,20㎡,550
汉峪金谷 舜泰广场 奥林逸城 精装修 拎包入住, 高新  奥体中心租房 鲁邦奥林逸城,http://jn.ganji.com//fang3/2928943141x.htm,20㎡,450
汉峪金谷 舜泰广场 重汽1956 精装修 拎包入住, 高新  奥体中心租房 重汽1956,http://jn.ganji.com//fang3/2920809342x.htm,20㎡,450
洪楼商圈 花园东路 力高国际 精装修 好房急租 拎包入住, 历城  洪家楼租房 力高国际,http://jn.ganji.com//fang3/2928942955x.htm,20㎡,450
洪楼商圈 花园东路 力高国际 精装修 好房急租 拎包入住, 历城  洪家楼租房 力高国际,http://jn.ganji.com//fang3/2920809078x.htm,20㎡,450
七里河精装朝南小单间450出租  押一付一，可短租, 历城  七里河租房 七里河小区,http://jn.ganji.com//fang3/2915761725x.htm,25㎡,450
舜泰广场 龙奥九号 华创观礼旁南向朝阳卧室 房型正 采光好, 高新  齐鲁软件园租房 草山岭小区,http://jn.ganji.com//fang3/2927614282x.htm,25㎡,600
无影山交通学院附近精美卧室 宽敞大气 无中 介费 有空调暖气, 天桥  无影山中路租房 天桥区教育局宿舍,http://jn.ganji.com//fang3/2927472343x.htm,25㎡,600
工业南路化纤厂路中建苑一楼单人间能做饭有暖气两月起租, 历城  其他租房 中建苑,http://jn.ganji.com//fang3/2895638073x.htm,25㎡,600
天桥区长途汽车总站对面泉星小区精装主卧、次卧，各种单间出租, 天桥  泺口租房 泉星小区,http://jn.ganji.com//fang3/2904965754x.htm,10㎡,450
开拓路工业南路鑫苑国际未来城理想嘉园精装修带阳台家具齐全, 高新  国际会展中心租房 未来城,http://jn.ganji.com//fang3/2894930853x.htm,20㎡,600
单位宿舍 单身公寓 有暖气 家具 紧邻站牌, 天桥  济齐路租房 637研究所宿舍,http://jn.ganji.com//fang1/2863810102x.htm,25㎡,450
免费看高新区附近所有房源会展中心丁豪银座万达软件园, 高新  国际会展中心租房 天业盛世花城,http://jn.ganji.com//fang3/2917979719x.htm,20㎡,600
万达会展丁豪附近豪华精装单间，紧靠工业南路公交便利紧邻地铁口, 历城  工业北路租房 海信贤文世家,http://jn.ganji.com//fang3/2895092718x.htm,20㎡,600
济南爱干净，易相处女生合租，木地板，有暖气两室一厅, 历城  洪家楼租房 洪家楼小区三号院,http://jn.ganji.com//fang3/2906999454x.htm,120㎡,200
可短租 大观园万达 家具齐全 带空调 拎包住 随时看房, 市中  大观园租房 大观园单位宿舍,http://jn.ganji.com//fang3/2903135817x.htm,22㎡,450
简家公寓钜惠月东城逸家合租逸品园合租精品小房, 历城  凤歧路租房 东城逸家,http://jn.ganji.com//fang3/2957439590x.htm,16㎡,600
出租北村简易楼一室一厅4楼2家公共卫生间, 天桥  工人新村北村租房 工人新村北村,http://jn.ganji.com//fang1/2963935310x.htm,35㎡,600
会展中心丁豪万达贤文花园家具齐全精装修带阳台随时入住干净整洁, 历下  康虹路租房 贤文花园,http://jn.ganji.com//fang3/2894932275x.htm,18㎡,400
丁豪广场 贤文花园 主卧精装带阳台 能做饭 免费宽带, 高新  国际会展中心租房 贤文花园,http://jn.ganji.com//fang3/2896644105x.htm,20㎡,600
汉欲金谷舜泰广场出租小单间价格美丽欢迎电联拎包入住, 高新  舜华路租房 北湖小区,http://jn.ganji.com//fang3/2894024361x.htm,20㎡,400
会展中心贤文花园精装修家具齐全拎包即住紧邻丁豪万达有空调！, 历下  康虹路租房,http://jn.ganji.com//fang3/2741600830x.htm,19㎡,400
新生活家园新东方家园香格里拉国际会展环保科技园, 高新  国际会展中心租房 天业盛世花城,http://jn.ganji.com//fang3/2824462685x.htm,25㎡,400
出租盛景家园区好房不会让你白跑只要350, 高新  奥体中心租房,http://jn.ganji.com//fang3/2824463870x.htm,20㎡,350
夏都金地广场，平安公司入职员工入住可享优，惠政策，精装单间, 历城  祝甸租房 周庄新园,http://jn.ganji.com//fang3/2988280451x.htm,20㎡,500
贤文会展丁豪附近精装单间300400就能租，免费看房再谈价, 高新  国际会展中心租房 贤文花园南区,http://jn.ganji.com//fang3/2988280703x.htm,20㎡,300
出租盛景家园区好房不会让你白跑只要350, 高新  奥体中心租房,http://jn.ganji.com//fang3/2897234616x.htm,20㎡,350
工业南路泰悦赫府500出租合租房，精装修，不要错过, 历城  洪家楼租房 泰悦赫府,http://jn.ganji.com//fang3/2905370674x.htm,19㎡,450
国际会展中心 绿城百合花精装卧室出租 包物业取暖 免, 高新  国际会展中心租房 绿城百合花园,http://jn.ganji.com//fang3/2968917542x.htm,25㎡,550
年底大降价 便宜出租 拎包入住 步行就到百花公园 方便实惠, 历城  闵子骞路租房 东兴花园,http://jn.ganji.com//fang3/2925936520x.htm,20㎡,390
个人新东方花园年底甩租送免租期, 高新  国际会展中心租房 新东方花园,http://jn.ganji.com//fang3/3009558395x.htm,10㎡,300
经十路旁出租精装修次卧 简约风格干净卫生, 槐荫  高铁西客站租房 海亮艺术华府,http://jn.ganji.com//fang3/3009517949x.htm,25㎡,580
解放东路政法学院西有好房出租好声音KTV砚泉站牌下车即是, 历下  解放东路租房 解放东路小鸭宿舍,http://jn.ganji.com//fang3/3009028760x.htm,25㎡,600
可月付 逸东花园 华信路 华能路 干净整洁 家具家电齐全, 历城  花园路租房 逸东花园,http://jn.ganji.com//fang3/2924907745x.htm,30㎡,600
铁路玉函押一付一 家具家电齐全 免费看房拎包入住, 市中  英雄山路租房 铁路玉函小区,http://jn.ganji.com//fang3/2925811906x.htm,28㎡,500
六里山 超便宜的房子 只需400元就能租到合适的房子免费用网, 市中  六里山租房 六里山单位宿舍,http://jn.ganji.com//fang3/2925795820x.htm,32㎡,400
可短租 七里山南村精装大卧室 出门就是站牌 坐车方便, 市中  七里山租房 七里山小区,http://jn.ganji.com//fang3/2925775675x.htm,28㎡,550
有需要在汉峪金谷、舜泰广场、玉兰广场、齐鲁软件园、青年人员创, 高新  旅游路高新段租房 中铁逸都国际兰庭(北区),http://jn.ganji.com//fang3/2924267689x.htm,30㎡,550
个人房源可拎包入住有需要在汉峪金谷、舜泰广场、玉兰广场、齐鲁, 高新  奥体中心租房 济高舜奥华府,http://jn.ganji.com//fang3/2925735880x.htm,20㎡,450
无中 介费 离山大中心校区近 关键价格不高 实拍图随时看房, 历城  闵子骞路租房 东兴花园,http://jn.ganji.com//fang3/2925036802x.htm,25㎡,390
高新区紧邻万达广场邓家花园精装公用厨房小乔直租拎包入住, 历下  康虹路租房 邓家花园,http://jn.ganji.com//fang3/2925095917x.htm,23㎡,600
（甩租高新万达广场单间）年末所有单间直降200.无中介拎包住, 高新  国际会展中心租房 万达华府,http://jn.ganji.com//fang3/2925023257x.htm,127㎡,600
紫光花园 精装好房 押一付一 暖气已开通, 市中  英雄山路租房 紫光花园,http://jn.ganji.com//fang3/2924925073x.htm,20㎡,600
房东直租砚泉下车即是！有暖气好房子出租紧邻政法学院, 历下  解放东路租房 解放东路小鸭宿舍,http://jn.ganji.com//fang3/2924570659x.htm,26㎡,600
历下大厦政法学院西500米好声音KTV南南卧双人大床非/中介, 历下  解放东路租房 工商局宿舍,http://jn.ganji.com//fang3/2924547154x.htm,25㎡,600
工业南路化纤厂路中建苑一楼单人间能做饭有暖气两月起租, 历城  其他租房 中建苑,http://jn.ganji.com//fang3/2895638073x.htm,25㎡,600
天桥区长途汽车总站对面泉星小区精装主卧、次卧，各种单间出租, 天桥  泺口租房 泉星小区,http://jn.ganji.com//fang3/2904965754x.htm,10㎡,450
开拓路工业南路鑫苑国际未来城理想嘉园精装修带阳台家具齐全, 高新  国际会展中心租房 未来城,http://jn.ganji.com//fang3/2894930853x.htm,20㎡,600
单位宿舍 单身公寓 有暖气 家具 紧邻站牌, 天桥  济齐路租房 637研究所宿舍,http://jn.ganji.com//fang1/2863810102x.htm,25㎡,450
免费看高新区附近所有房源会展中心丁豪银座万达软件园, 高新  国际会展中心租房 天业盛世花城,http://jn.ganji.com//fang3/2917979719x.htm,20㎡,600
万达会展丁豪附近豪华精装单间，紧靠工业南路公交便利紧邻地铁口, 历城  工业北路租房 海信贤文世家,http://jn.ganji.com//fang3/2895092718x.htm,20㎡,600
济南爱干净，易相处女生合租，木地板，有暖气两室一厅, 历城  洪家楼租房 洪家楼小区三号院,http://jn.ganji.com//fang3/2906999454x.htm,120㎡,200
可短租 大观园万达 家具齐全 带空调 拎包住 随时看房, 市中  大观园租房 大观园单位宿舍,http://jn.ganji.com//fang3/2903135817x.htm,22㎡,450
简家公寓钜惠月东城逸家合租逸品园合租精品小房, 历城  凤歧路租房 东城逸家,http://jn.ganji.com//fang3/2957439590x.htm,16㎡,600
出租北村简易楼一室一厅4楼2家公共卫生间, 天桥  工人新村北村租房 工人新村北村,http://jn.ganji.com//fang1/2963935310x.htm,35㎡,600
会展中心丁豪万达贤文花园家具齐全精装修带阳台随时入住干净整洁, 历下  康虹路租房 贤文花园,http://jn.ganji.com//fang3/2894932275x.htm,18㎡,400
丁豪广场 贤文花园 主卧精装带阳台 能做饭 免费宽带, 高新  国际会展中心租房 贤文花园,http://jn.ganji.com//fang3/2896644105x.htm,20㎡,600
汉欲金谷舜泰广场出租小单间价格美丽欢迎电联拎包入住, 高新  舜华路租房 北湖小区,http://jn.ganji.com//fang3/2894024361x.htm,20㎡,400
铭盛大厦银荷大厦奥体中路软件园家具齐全精装修康桥颐东随时看房, 高新  齐鲁软件园租房 康桥颐东,http://jn.ganji.com//fang3/2894931135x.htm,20㎡,500
北闸子东区2号楼, 天桥  泺口租房,http://jn.ganji.com//fang1/2915846066x.htm,70㎡,500
紧邻汇隆广场 祝甸 洪家楼 海洋橄榄主题风格装修随时看房, 历下  其他租房 保利华庭,http://jn.ganji.com//fang3/2897186754x.htm,20㎡,450
出租龙腾小区 一室一厅 家具齐全 550每月, 槐荫  济齐路西段租房 龙腾小区,http://jn.ganji.com//fang1/2860190038x.htm,53㎡,550
王官庄大众广场济微路济南大学附近丰润怡邻居精装带空调随时看房, 市中  济微路租房 丰润怡邻居,http://jn.ganji.com//fang3/2899343584x.htm,16㎡,600
高薪万达单间 齐鲁软件园 三庆财富 大学科技园 万达华府精次, 高新  国际会展中心租房 万达华府,http://jn.ganji.com//fang1/2999739131x.htm,26㎡,500
缤纷五洲 通讯城 济洛路 可短租 可月付 家电齐全 工人新村, 天桥  泺口租房 工人新村北村,http://jn.ganji.com//fang3/2971362386x.htm,15㎡,350
清河苑小区 位置优越 环境清幽 出行便捷 公交站牌多实拍照片, 天桥  北园租房 清河苑小区,http://jn.ganji.com//fang3/2899010365x.htm,20㎡,600
文昌东苑阁楼 整租只要500, 长清  文昌租房 文昌东苑,http://jn.ganji.com//fang1/2895475164x.htm,73㎡,500
单身公寓便宜出租包物业包网费 交通便利 干净卫生 设施齐全, 高新  国际会展中心租房 贤文花园南区,http://jn.ganji.com//fang3/2825818533x.htm,25㎡,300
临近汉峪金谷 重汽1956，重汽公司 龙奥北路诚心出租！, 历城  凤歧路租房 东城逸家逸贤园2区,http://jn.ganji.com//fang3/2970536768x.htm,19㎡,600
"花园路盛景家园居家3室,新鲜出炉,火热出租!!!", 历下  康虹路租房,http://jn.ganji.com//fang3/2897187564x.htm,20㎡,500
房源位于标山路凤凰山庄、缤纷五洲往东一站地、随时看房公交便利, 天桥  标山路租房 凤凰山庄,http://jn.ganji.com//fang3/2986436771x.htm,25㎡,580
历城区、黄台南路、新小区康和东苑、电梯房、家具齐全, 历城  洪家楼租房 康和东苑,http://jn.ganji.com//fang3/2986436816x.htm,20㎡,450
押一付一！紧邻杆石桥，三室房源，随时看房，无，中，介，费, 市中  杆石桥租房 回民小区,http://jn.ganji.com//fang3/2803124844x.htm,18㎡,600
万达广场丁豪广场会展中心拎包入住包网包物业, 历下  康虹路租房,http://jn.ganji.com//fang3/2741600470x.htm,19㎡,400
(单间出租)齐鲁软件园雅居园精装修好房 随时看房 拎包即住, 高新  奥体中心租房,http://jn.ganji.com//fang1/2736432858x.htm,20㎡,600
工业南路泰悦赫府500出租合租房，精装修，不要错过, 历城  洪家楼租房,http://jn.ganji.com//fang3/2741600623x.htm,19㎡,450
出租盛景家园区好房不会让你白跑只要350, 高新  奥体中心租房,http://jn.ganji.com//fang3/2752280329x.htm,20㎡,350
紧邻汇隆广场祝甸洪家楼海洋橄榄主题风格装修随时看房, 历城  洪家楼租房,http://jn.ganji.com//fang3/2741599975x.htm,19㎡,400
丁豪广场 贤文花园 主卧精装带阳台 能做饭 免费宽带, 高新  国际会展中心租房 贤文花园,http://jn.ganji.com//fang3/2896644105x.htm,20㎡,600
汉欲金谷舜泰广场出租小单间价格美丽欢迎电联拎包入住, 高新  舜华路租房 北湖小区,http://jn.ganji.com//fang3/2894024361x.htm,20㎡,400
铭盛大厦银荷大厦奥体中路软件园家具齐全精装修康桥颐东随时看房, 高新  齐鲁软件园租房 康桥颐东,http://jn.ganji.com//fang3/2894931135x.htm,20㎡,500
紧邻汇隆广场 祝甸 洪家楼 海洋橄榄主题风格装修随时看房, 历下  其他租房 保利华庭,http://jn.ganji.com//fang3/2897186754x.htm,20㎡,450
出租龙腾小区 一室一厅 家具齐全 550每月, 槐荫  济齐路西段租房 龙腾小区,http://jn.ganji.com//fang1/2860190038x.htm,53㎡,550
王官庄大众广场济微路济南大学附近丰润怡邻居精装带空调随时看房, 市中  济微路租房 丰润怡邻居,http://jn.ganji.com//fang3/2899343584x.htm,16㎡,600
和谐广场附近紧靠小学中学菜市场省立医院西市场, 槐荫  不限租房,http://jn.ganji.com//fang1/2809947216x.htm,80㎡,面议
高薪万达单间 齐鲁软件园 三庆财富 大学科技园 万达华府精次, 高新  国际会展中心租房 万达华府,http://jn.ganji.com//fang1/2999739131x.htm,26㎡,500
缤纷五洲 通讯城 济洛路 可短租 可月付 家电齐全 工人新村, 天桥  泺口租房 工人新村北村,http://jn.ganji.com//fang3/2971362386x.htm,15㎡,350
清河苑小区 位置优越 环境清幽 出行便捷 公交站牌多实拍照片, 天桥  北园租房 清河苑小区,http://jn.ganji.com//fang3/2899010365x.htm,20㎡,600
文昌东苑阁楼 整租只要500, 长清  文昌租房 文昌东苑,http://jn.ganji.com//fang1/2895475164x.htm,73㎡,500
单身公寓便宜出租包物业包网费 交通便利 干净卫生 设施齐全, 高新  国际会展中心租房 贤文花园南区,http://jn.ganji.com//fang3/2825818533x.htm,25㎡,300
临近汉峪金谷 重汽1956，重汽公司 龙奥北路诚心出租！, 历城  凤歧路租房 东城逸家逸贤园2区,http://jn.ganji.com//fang3/2970536768x.htm,19㎡,600
"花园路盛景家园居家3室,新鲜出炉,火热出租!!!", 历下  康虹路租房,http://jn.ganji.com//fang3/2897187564x.htm,20㎡,500
"济南爱干净,易相处女生合租,木地板,两室一厅", 历下  文化东路租房,http://jn.ganji.com//fang3/2855799859x.htm,120㎡,200
北村 1室1厨1阳台 500元, 天桥  工人新村北村租房 工人新村北村,http://jn.ganji.com//fang1/2895371718x.htm,25㎡,500
堤口路铁路宿舍博文小学附近2楼中装床衣橱沙发茶几热水器, 天桥  堤口路租房 堤口路铁路宿舍,http://jn.ganji.com//fang1/2816681832x.htm,45㎡,600
个人房源重汽1956无中间费可月付汉峪金谷, 高新  舜华路租房 重汽1956,http://jn.ganji.com//fang3/2909477203x.htm,18㎡,600
外海中央花园向阳单间带暖气带电梯拎包入住邻经十路高铁西客站, 槐荫  经十西路租房 外海中央花园,http://jn.ganji.com//fang3/2897543335x.htm,8㎡,500
泉盈大酒店南邻铁路宿舍平房带卫生间空调家具随时入住, 天桥  凤凰山路租房 凤凰山南路铁路宿舍(东区),http://jn.ganji.com//fang1/2850976284x.htm,25㎡,500
香格里拉精装小卧室出租可短租可月付 随时看房紧邻会展中心, 高新  国际会展中心租房 汇展香格里拉,http://jn.ganji.com//fang3/2879626566x.htm,15㎡,450
降价急急急！首月免房租高铁站金科主卧 拎包入驻 自己房子, 槐荫  高铁西客站租房 海亮艺术华府,http://jn.ganji.com//fang3/2906176479x.htm,35㎡,590
高新万达 齐鲁软件园 小鸭集团 丁豪广场 鑫苑国际独立洗漱次, 高新  舜华路租房 鑫苑国际城市花园,http://jn.ganji.com//fang3/2931535486x.htm,26㎡,500
十里河 留学人员创业园 环保科技园 化纤厂路 保利华庭精装次, 高新  奥体中心租房 保利华庭,http://jn.ganji.com//fang3/2931535501x.htm,25㎡,500
高新万达 齐鲁软件园 丁豪广场 三庆财富 香格里拉温馨次卧, 高新  国际会展中心租房 汇展香格里拉,http://jn.ganji.com//fang3/2931534346x.htm,27㎡,500
高薪万达 齐鲁软件园 三庆财富 大学科技园 万达华府精次卧, 高新  国际会展中心租房 万达华府,http://jn.ganji.com//fang3/2931534331x.htm,27㎡,500
高新万达 齐鲁软件园 丁豪广场 三庆财富 香格里拉温馨次卧, 高新  国际会展中心租房 汇展香格里拉,http://jn.ganji.com//fang3/2931534364x.htm,26㎡,500
高薪万达 鲁软件园 奥盛大厦 银荷大厦 中铁汇苑独立阳台次卧, 高新  国际会展中心租房 中铁汇苑,http://jn.ganji.com//fang3/2931482683x.htm,25㎡,500
高新个人新东方花园单间随时看房拎包入住, 高新  国际会展中心租房 新东方花园,http://jn.ganji.com//fang3/2931337402x.htm,10㎡,300
个人无高新国际会展万达华府精装出租暖气以开(个人), 高新  国际会展中心租房 万达华府,http://jn.ganji.com//fang1/2930356114x.htm,28㎡,600
500元甩租 可月付 免中/介费 长短租都可以 山东大学附近, 历下  山大南路租房 神光花园,http://jn.ganji.com//fang3/2922066016x.htm,20㎡,500
那有监控WiFi洗衣机太阳能可停车可做饭, 天桥  泺口租房,http://jn.ganji.com//fang1/2800137661x.htm,20㎡,400
经纬嘉园保利中心龙华雅苑靠近西市场火车站大观园交通便利可月付, 天桥  其他租房 经纬嘉园,http://jn.ganji.com//fang3/2923399414x.htm,20㎡,500
北向精装小间公寓，转山西路附近今年*房价。拎包入住请勿还价, 历下  浆水泉路租房 银座花园,http://jn.ganji.com//fang1/2906755372x.htm,20㎡,600
高新万达 齐鲁软件园 丁豪广场 三庆财富 香格里拉温馨次卧, 高新  国际会展中心租房 汇展香格里拉,http://jn.ganji.com//fang3/3014435801x.htm,27㎡,500
高新万达 齐鲁软件园 丁豪广场 中铁财智 贤文花园独立阳台次, 历下  康虹路租房 贤文花园,http://jn.ganji.com//fang3/3014434664x.htm,24㎡,500
"(单间出租)留学人员创业园附近,龙园小区出租,500/月", 高新  齐鲁软件园租房 舜泰广场北龙园小区,http://jn.ganji.com//fang3/3014407361x.htm,15㎡,500
个人房源奥体中路盛景家园单间拎包入住, 高新  国际会展中心租房 盛景家园,http://jn.ganji.com//fang3/3014236268x.htm,12㎡,600
高新会展 贤文 海信慧园 个人免物业网费精装修, 高新  国际会展中心租房 海信慧园,http://jn.ganji.com//fang3/3014236088x.htm,10㎡,300
个人房源高新万达旁明湖白鹭郡拎包入住, 高新  国际会展中心租房 明湖白鹭郡,http://jn.ganji.com//fang3/3014236004x.htm,15㎡,550
西市场火车站堤口路附近可月付无线覆盖标准单间, 槐荫  西市场租房 保利中心华府,http://jn.ganji.com//fang3/3014182295x.htm,15㎡,300
经十路 不租高价只为省心 380包物业网 精致装修 欢迎看房, 高新  其他租房 草山岭东区,http://jn.ganji.com//fang3/3013990370x.htm,17㎡,380
贤文花园300400单间低，价出租，相中房子价格好说，急租, 历下  康虹路租房 贤文花园,http://jn.ganji.com//fang3/2905370896x.htm,15㎡,400
(单间出租)齐鲁软件园雅居园精装修好房随时看房拎包即住, 高新  国际会展中心租房 雅居园,http://jn.ganji.com//fang1/2905370761x.htm,20㎡,600
(单间出租)四户合租两个卫生间 有厨房家具家电齐全拎包, 历城  洪家楼租房 花园小镇,http://jn.ganji.com//fang3/2905370818x.htm,15㎡,450
清河北路，恒大滨河左岸，白领公寓，合租，600到一千元可短租, 天桥  生产路租房 恒大滨河左岸,http://jn.ganji.com//fang3/2900142294x.htm,15㎡,600
软件园 奥盛大厦 舜泰广场 雨滴广场 银河大厦 拎包入住, 高新  国际会展中心租房 黄金时代,http://jn.ganji.com//fang3/2988263027x.htm,20㎡,600
贤文世家精装单间300400就租，紧靠万达丁豪银座，公交便利, 历城  工业北路租房 海信贤文世家,http://jn.ganji.com//fang3/2988263009x.htm,15㎡,350
祝甸东方花园东方广场，夏都金地广场附近精装单间，拎包入住, 历城  祝甸租房 祝甸东方花园,http://jn.ganji.com//fang3/2905370917x.htm,20㎡,500
免费看房 可月付 祝甸东方花园 好房来袭当天订房直降100, 历城  祝甸租房 祝甸东方花园,http://jn.ganji.com//fang3/2923417614x.htm,25㎡,600
舜玉小区南区 押一付一 拎包入住, 市中  舜玉路租房 舜玉小区南区,http://jn.ganji.com//fang3/3013076564x.htm,20㎡,500
盛世花城 茗筑美嘉万达华府单间出租无押一付一宽带免费, 高新  国际会展中心租房 天业盛世花城,http://jn.ganji.com//fang3/3012496130x.htm,28㎡,550
(个人单间出租)龙奥金座 华创观礼 舜奥华府 南向带阳台实墙, 高新  奥体中心租房 济高舜奥华府,http://jn.ganji.com//fang3/2919349134x.htm,30㎡,500
可月付 花园路 紧邻幸福时光KTV 朝阳卧室 干净整洁 一楼, 历城  其他租房 花园路教委宿舍,http://jn.ganji.com//fang3/3006343916x.htm,25㎡,550
华彩楼紧邻都市118精装好房不等人非中介家具齐全只需450, 历城  其他租房 华彩楼,http://jn.ganji.com//fang3/3004753946x.htm,23㎡,450
工人新村北1室1厅1卫, 天桥  工人新村北村租房 工人新村北村,http://jn.ganji.com//fang1/2920886437x.htm,36㎡,400
温馨单间国际会展中心花园东路康虹路盛世花城精装修, 高新  国际会展中心租房 天业盛世花城,http://jn.ganji.com//fang3/2986121972x.htm,15㎡,550
可月付、精装修、七里河路锦园小区、紧邻花园路、华龙路, 历城  东风租房 锦园小区,http://jn.ganji.com//fang3/2913395467x.htm,25㎡,500
小鸭集团东 一室一厅 独门独户 便宜出租 免费停车 随时看, 历下  康虹路租房,http://jn.ganji.com//fang1/2890203283x.htm,40㎡,500
公寓出租 东城花园附近环境优雅 独门独户 免费停车 随时可看, 高新  舜华路租房 德润天玺,http://jn.ganji.com//fang3/2881248783x.htm,12㎡,600
国际会展中心丁豪万达贤文花园精装修交通便利家具齐全拎包即住, 历下  康虹路租房 贤文花园,http://jn.ganji.com//fang3/2903064340x.htm,20㎡,400
高新万达 齐鲁软件园 丁豪广场 中铁财智 贤文花园独立阳台次, 历下  康虹路租房 贤文花园,http://jn.ganji.com//fang3/2923410588x.htm,26㎡,500
高薪万达 齐鲁软件园 银荷大厦 铭盛大厦 中垠雅苑独立阳台, 高新  国际会展中心租房 中垠雅苑,http://jn.ganji.com//fang3/2923410591x.htm,26㎡,500
十里河 留学人员创业园 环保科技园 力高国际精装独立厨房次卧, 历城  洪家楼租房 力高国际,http://jn.ganji.com//fang3/2923409571x.htm,27㎡,500
